Aalborg University
Aalto University
Ajou University
Aristotle University of Thessaloniki
Auburn University
Bangor University
Bar-Ilan University
Baylor University
Beihang University
Beijing Normal University
Bielefeld University
Birkbeck, University of London
Braunschweig University of Technology
Brunel University
Carleton University
Catholic University of Korea
Catholic University of the Sacred Heart
Central South University
Chalmers University of Technology
Chang Gung University
China Agricultural University
Chonbuk National University
Chonnam National University
Chulalongkorn University
Chungnam National University
City College of New York
City University of Hong Kong
Clemson University
College of William and Mary
Colorado School of Mines
Concordia University
Creighton University
Curtin University
Deakin University
East China Normal University
East China University of Science and Technology
Ehime University
Ewha Womans University
Eötvös Loránd University
Federal University of Minas Gerais
Federal University of Rio Grande do Sul
Federal University of São Paulo
Flinders University
Florida International University
George Mason University
Georgia Regents University
Georgia State University
Gifu University
Graduate University for Advanced Studies
Grenoble Institute of Technology
Griffith University
Gunma University
Gwangju Institute of Science and Technology
Gyeongsang National University
Harbin Institute of Technology
Heriot-Watt University
Hong Kong Polytechnic University
Huazhong University of Science and Technology
Indian Institute of Science
Indian Institute of Technology Bombay
Indian Institute of Technology Delhi
Indian Institute of Technology Kanpur
Indian Institute of Technology Madras
Inha University
Innsbruck Medical University
International School for Advanced Studies
Jagiellonian University
James Cook University
Jilin University
Juntendo University
Kagoshima University
Kanazawa University
Keele University
Kent State University
King Saud University
Konkuk University
Kumamoto University
Kyung Hee University
La Trobe University
Lancaster University
Lanzhou University
Lehigh University
Leipzig University
Linköping University
London School of Economics
Loyola University Chicago
Macquarie University
Mahidol University
Martin Luther University of Halle-Wittenberg
Massey University
Memorial University of Newfoundland
Miami University
Middle East Technical University
Mississippi State University
Montana State University - Bozeman
Nagasaki University
Nagoya City University
Nara Institute of Science and Technology
National Central University
National Cheng Kung University
National Chiao Tung University
National Chung Hsing University
National Polytechnic Institute
National Polytechnic Institute of Toulouse
National Tsing Hua University
National University of Ireland, Galway
National University of La Plata
National Yang-Ming University
National and Kapodistrian University of Athens
New Mexico State University
Nihon University
Niigata University
Northern Illinois University
Ohio University
Oklahoma State University–Stillwater
Old Dominion University
Open University (UK)
Osaka City University
Osaka Prefecture University
Otto-von-Guericke University Magdeburg
Panjab University
Peking Union Medical College
Plymouth University
Polytechnic University of Catalonia
Polytechnic University of Milan
Polytechnic University of Turin
Polytechnic University of Valencia
Pompeu Fabra University
Pontifical Catholic University of Chile
Pusan National University
Queensland University of Technology
Rovira i Virgili University
Royal Holloway, University of London
Rush University
SUNY Downstate Medical Center
Saarland University
Saint Petersburg State University
Scuola Normale Superiore di Pisa
Second University of Naples
Semmelweis University
Shandong University
Shinshu University
Shizuoka University
Sichuan University
South China University of Technology
Southeast University
Southern Illinois University Carbondale
Southern Methodist University
St George's, University of London
Swansea University
Swedish University of Agricultural Sciences
Swinburne University of Technology
Syracuse University
Tata Institute of Fundamental Research
Technical University of Dortmund
Technical University of Madrid
Temple University
Texas A&M Health Science Center
Texas Tech University (TTU)
Tianjin University
Tokai University
Tokyo Medical and Dental University
Tokyo Metropolitan University
Tokyo University of Agriculture and Technology
Tokyo University of Science
Tokyo Women's Medical University
Tongji University
UNESP, São Paulo State University
Universidade Nova de Lisboa
University College Cork
University Lille 1: Sciences and Technologies
University of Akron
University of Alabama - Tuscaloosa
University of Alaska Fairbanks
University of Arkansas - Fayetteville
University of Arkansas for Medical Sciences
University of Aveiro
University of Bari Aldo Moro
University of Bath
University of Bayreuth
University of Bremen
University of Brescia
University of Buenos Aires
University of Burgundy
University of Cagliari
University of Campinas
University of Cantabria
University of Canterbury
University of Catania
University of Central Florida
University of Chile
University of Coimbra
University of Crete
University of Debrecen
University of Denver
University of Eastern Finland
University of Ferrara
University of Fribourg
University of Graz
University of Haifa
University of Hanover
University of Hawaii at Manoa
University of Hertfordshire
University of Hull
University of Iceland
University of Idaho
University of Jyväskylä
University of Kent
University of Konstanz
University of KwaZulu-Natal
University of La Laguna
University of Ljubljana
University of Maine, Orono
University of Malaya
University of Maryland, Baltimore County
University of Milan - Bicocca
University of Minho
University of Mississippi - Oxford Campus
University of Missouri–Kansas City
University of Modena and Reggio Emilia
University of Montana - Missoula
University of Málaga
University of Nantes
University of Navarra
University of Nebraska Medical Center
University of Nebraska Omaha
University of Nevada, Reno
University of New Hampshire
University of Newcastle
University of Nice Sophia Antipolis
University of Oulu
University of Oviedo
University of Palermo
University of Parma
University of Patras
University of Pavia
University of Perugia
University of Poitiers
University of Potsdam
University of Pretoria
University of Québec at Montreal
University of Rennes 1
University of Rhode Island
University of Rostock
University of Salamanca
University of Santiago de Compostela
University of Saskatchewan
University of Savoy
University of Science and Technology Beijing
University of Science, Malaysia
University of Seville
University of Sherbrooke
University of Siena
University of Strathclyde
University of Surrey
University of Tampere
University of Tartu
University of Tasmania
University of Texas at Arlington
University of Tokushima
University of Toledo
University of Trento
University of Tromsø - The Arctic University of Norway
University of Turku
University of Twente
University of Udine
University of Ulsan
University of Verona
University of Victoria
University of Warsaw
University of Wisconsin–Milwaukee
University of Wollongong
University of Wyoming
University of Zagreb
University of Zaragoza
University of the Balearic Islands
University of the Basque Country
Utah State University
Versailles Saint-Quentin-en-Yvelines University
Victoria University of Wellington
Vita-Salute San Raffaele University
Wesleyan University
West Virginia University
Wuhan University
Xi'an Jiaotong University
Xiamen University
Yokohama City University
York University
École normale supérieure de Lyon
