,0,1,2,3,4,5,6,7,8,9,10
National Chung Hsing University,0.592536560767,0.0263736263736,0.778993435449,0.455870445344,0.67731629393,0.395813047712,0.694022289767,0.694029850746,0.888150609081,0.127769509421,0.333829857663
National Polytechnic Institute,0.775088250126,0.0043956043956,0.702407002188,0.836437246964,0.67731629393,0.544303797468,0.581053698075,0.516169154229,0.511074197121,0.126225042824,0.333829857663
National Tsing Hua University,0.414019162885,0.0131868131868,0.542669584245,0.798380566802,0.67731629393,0.225900681597,0.418946301925,0.570273631841,0.708194905869,0.131167335936,0.333829857663
"National University of Ireland, Galway",0.581946545638,0.0131868131868,0.778993435449,0.836437246964,0.67731629393,0.573028237585,0.577001013171,0.77736318408,0.330011074197,0.127881834265,0.333829857663
National Yang-Ming University,0.540595057993,0.0175824175824,0.778993435449,0.836437246964,0.67731629393,0.338851022395,0.514184397163,0.567786069652,0.862126245847,0.128527702115,0.333829857663
National and Kapodistrian University of Athens,0.316691880988,0.0,0.778993435449,0.351417004049,0.67731629393,0.238072054528,0.428064842958,0.456467661692,0.888150609081,0.135098705456,0.333829857663
Nihon University,0.508320726172,0.107692307692,0.654266958425,0.831578947368,0.67731629393,0.56864654333,0.605369807497,1.0,0.142857142857,0.12903316391,0.333829857663
Niigata University,0.447806354009,0.0879120879121,0.778993435449,0.396761133603,0.67731629393,0.499513145083,0.514690982776,0.541044776119,0.242524916944,0.130352980821,0.333829857663
Osaka Prefecture University,0.599092284418,0.153846153846,0.778993435449,0.578947368421,0.67731629393,0.647517039922,0.683383991895,0.881218905473,0.214285714286,0.127657184578,0.333829857663
Otto-von-Guericke University Magdeburg,0.520423600605,0.18021978022,0.778993435449,0.836437246964,0.67731629393,0.469814995131,0.630192502533,0.621890547264,0.356035437431,0.128892757856,0.333829857663
Panjab University,0.519415027736,0.0153846153846,0.716630196937,0.297165991903,0.67731629393,0.693281402142,0.761904761905,0.452114427861,0.862126245847,0.128836595434,0.333829857663
Paul Sabatier University - Toulouse III,0.240040342915,0.0505494505495,0.778993435449,0.836437246964,0.67731629393,0.149464459591,0.104863221884,0.352611940299,0.518272425249,0.140714947629,0.333829857663
Peking Union Medical College,0.59505799294,0.131868131868,0.778993435449,0.836437246964,0.67731629393,0.292599805258,0.304457953394,0.723880597015,0.791805094131,0.128527702115,0.333829857663
Plymouth University,0.584972264246,0.189010989011,0.778993435449,0.784615384615,0.67731629393,0.517039922103,0.430597771023,0.621890547264,0.594130675526,0.127853753054,0.333829857663
Polytechnic University of Catalonia,0.391326273323,0.032967032967,0.778993435449,0.622672064777,0.67731629393,0.366601752678,0.585106382979,0.478855721393,0.105204872647,0.131869366207,0.333829857663
Polytechnic University of Turin,0.619263741805,0.138461538462,0.778993435449,0.836437246964,0.67731629393,0.450340798442,0.793819655522,0.896144278607,0.254706533776,0.127460616102,0.333829857663
Polytechnic University of Valencia,0.458900655572,0.0527472527473,0.778993435449,0.836437246964,0.67731629393,0.361733203505,0.490881458967,0.77736318408,0.196566998893,0.130128331134,0.333829857663
Pompeu Fabra University,0.401916288452,0.0395604395604,0.778993435449,0.836437246964,0.67731629393,0.390457643622,0.174265450861,0.642412935323,0.598560354374,0.131560472888,0.333829857663
Pontifical Catholic University of Chile,0.414523449319,0.0,0.725382932166,0.315789473684,0.67731629393,0.434274586173,0.312056737589,0.705223880597,0.452934662237,0.131279660779,0.333829857663
Pusan National University,0.447806354009,0.0659340659341,0.778993435449,0.656680161943,0.67731629393,0.384128529698,0.504052684904,0.489427860697,0.150055370986,0.130381062031,0.333829857663
Queensland University of Technology,0.616238023197,0.0659340659341,0.778993435449,0.836437246964,0.67731629393,0.452775073028,0.749240121581,0.621890547264,0.575858250277,0.127488697313,0.333829857663
Rovira i Virgili University,0.650529500756,0.0813186813187,0.778993435449,0.836437246964,0.67731629393,0.548198636806,0.615501519757,0.570273631841,0.571982281285,0.127095560361,0.333829857663
"Royal Holloway, University of London",0.543116490166,0.175824175824,0.778993435449,0.836437246964,0.67731629393,0.545277507303,0.313576494428,0.516169154229,0.512181616833,0.128499620904,0.333829857663
Ruhr University Bochum,0.300554715078,0.112087912088,0.778993435449,0.40971659919,0.67731629393,0.227361246349,0.229483282675,0.478855721393,0.791805094131,0.135969222993,0.333829857663
Rush University,0.322743318205,0.523076923077,0.778993435449,0.836437246964,0.67731629393,0.412366114898,0.41134751773,0.213308457711,0.888150609081,0.134789812137,0.333829857663
Saarland University,0.378214826021,0.142857142857,0.778993435449,0.593522267206,0.67731629393,0.378773125609,0.42147922999,0.570273631841,0.370985603544,0.132234421948,0.333829857663
Saint Louis University,0.364599092284,0.564835164835,0.778993435449,0.478542510121,0.627795527157,0.44888023369,0.29179331307,0.570273631841,0.281838316722,0.132683721322,0.333829857663
Saint Petersburg State University,0.346444780635,0.00659340659341,0.0809628008753,0.297165991903,0.67731629393,0.601752677702,0.602836879433,0.77736318408,0.857696566999,0.134059700654,0.333829857663
Scuola Normale Superiore di Pisa,0.389309127584,0.0725274725275,0.527352297593,0.836437246964,0.193290734824,0.52288218111,0.534447821682,0.422885572139,0.888150609081,0.131813203785,0.333829857663
Semmelweis University,0.610690872416,0.0043956043956,0.778993435449,0.836437246964,0.67731629393,0.639727361246,0.503546099291,0.621890547264,0.674418604651,0.127516778523,0.333829857663
Shandong University,0.436712052446,0.0791208791209,0.778993435449,0.721457489879,0.67731629393,0.221032132425,0.601823708207,0.621890547264,0.562015503876,0.130605711718,0.333829857663
Shinshu University,0.502269288956,0.118681318681,0.778993435449,0.678542510121,0.67731629393,0.561830574489,0.590678824721,0.40236318408,0.24584717608,0.129257813597,0.333829857663
Shizuoka University,0.613716591024,0.158241758242,0.778993435449,0.762753036437,0.67731629393,0.689386562804,0.655015197568,0.651119402985,0.170542635659,0.127572940945,0.333829857663
Sichuan University,0.499243570348,0.105494505495,0.778993435449,0.833198380567,0.67731629393,0.277994157741,0.50861195542,0.896144278607,0.53488372093,0.129201651175,0.333829857663
Simon Fraser University,0.378719112456,0.0703296703297,0.778993435449,0.836437246964,0.67731629393,0.275559883155,0.293819655522,0.478855721393,0.415282392027,0.132234421948,0.333829857663
South China University of Technology,0.47049924357,0.0967032967033,0.778993435449,0.442105263158,0.67731629393,0.363193768257,0.641337386018,0.621890547264,0.232004429679,0.129875600236,0.333829857663
Southeast University,0.429147755925,0.0857142857143,0.345733041575,0.716599190283,0.67731629393,0.378286270691,0.705673758865,0.77736318408,0.147286821705,0.130886523827,0.333829857663
"St George's, University of London",0.343419062027,0.136263736264,0.778993435449,0.836437246964,0.67731629393,0.523369036027,0.471631205674,0.419154228856,0.662236987818,0.13358232007,0.333829857663
Swedish University of Agricultural Sciences,0.426122037317,0.0395604395604,0.537199124726,0.836437246964,0.67731629393,0.372444011685,0.268490374873,0.489427860697,0.888150609081,0.130942686249,0.333829857663
Tata Institute of Fundamental Research,0.599596570852,0.0307692307692,0.778993435449,0.836437246964,0.67731629393,0.44888023369,0.438703140831,0.419154228856,0.844407530454,0.127629103367,0.333829857663
Technical University of Dortmund,0.474533535048,0.153846153846,0.778993435449,0.836437246964,0.67731629393,0.442551119766,0.538500506586,0.478855721393,0.249169435216,0.129707112971,0.333829857663
Technical University of Madrid,0.427130610187,0.043956043956,0.449671772429,0.323886639676,0.67731629393,0.45959104187,0.691489361702,0.77736318408,0.119047619048,0.130886523827,0.333829857663
Temple University,0.386787695411,0.586813186813,0.573304157549,0.825101214575,0.67731629393,0.322784810127,0.366261398176,0.621890547264,0.22203765227,0.13195360984,0.333829857663
Tianjin University,0.363590519415,0.0527472527473,0.778993435449,0.123076923077,0.67731629393,0.365141187926,0.94022289767,0.761194029851,0.369324473976,0.132796046166,0.333829857663
Tokyo Medical and Dental University,0.385274836107,0.0659340659341,0.778993435449,0.836437246964,0.67731629393,0.443524829601,0.327760891591,0.77736318408,0.31838316722,0.131925528629,0.333829857663
Tokyo Metropolitan University,0.50378214826,0.112087912088,0.778993435449,0.587044534413,0.67731629393,0.55452775073,0.45896656535,0.389925373134,0.668327796235,0.129173569964,0.333829857663
Tokyo University of Agriculture and Technology,0.616742309632,0.167032967033,0.778993435449,0.836437246964,0.67731629393,0.589581304771,0.739108409321,0.694029850746,0.269656699889,0.127460616102,0.333829857663
Tokyo University of Science,0.448814926878,0.0901098901099,0.778993435449,0.836437246964,0.67731629393,0.501460564752,0.527862208713,0.516169154229,0.174418604651,0.130381062031,0.333829857663
Tokyo Women's Medical University,0.551185073122,0.134065934066,0.778993435449,0.836437246964,0.67731629393,0.752677702045,0.607396149949,0.621890547264,0.341638981174,0.128331133638,0.333829857663
"UNESP, São Paulo State University",0.677256681795,0.0263736263736,0.778993435449,0.836437246964,0.67731629393,0.342745861733,0.640324214792,0.621890547264,0.650609080842,0.126898991885,0.333829857663
