"index","eigenvalues"
"0","917.16869827971095"
"1","397.09962918643157"
"2","510.26368673801846"
"3","313.21063989030461"
"4","230.27181873797639"
"5","183.84946085861191"
"6","186.91700722423383"
"7","121.27530807280579"
"8","328.67788547025958"
"9","40.871587806833624"
