,0,1,2,3,4,5,6,7,8,9,10
Aarhus University,0.119515885023,0.0043956043956,0.647702407002,0.276113360324,0.333865814696,0.0861733203505,0.0785207700101,0.110696517413,0.190476190476,0.15705821235,0.333829857663
Aix-Marseille University,0.21482602118,0.0351648351648,0.468271334792,0.737651821862,0.67731629393,0.118792599805,0.0840932117528,0.220149253731,0.250830564784,0.142933363287,0.333829857663
Albert Ludwig University of Freiburg,0.144225920323,0.0197802197802,0.300875273523,0.19028340081,0.600638977636,0.149464459591,0.104356636272,0.209577114428,0.0874861572536,0.152930274353,0.333829857663
Australian National University,0.217347453354,0.0241758241758,0.51750547046,0.684210526316,0.220447284345,0.177215189873,0.147416413374,0.299129353234,0.519379844961,0.273904130746,0.666997682886
Autonomous University of Barcelona,0.247604639435,0.00879120879121,0.778993435449,0.836437246964,0.67731629393,0.139240506329,0.219858156028,0.317164179104,0.264119601329,0.139900592514,0.333829857663
Babeș-Bolyai University,0.495713565305,0.0,0.390590809628,0.449392712551,0.341853035144,0.423563777994,0.431104356636,0.502487562189,0.480066445183,0.000421218162927,0.000496524329692
Baylor College of Medicine,0.120020171457,0.268131868132,0.778993435449,0.836437246964,0.67731629393,0.107108081792,0.0390070921986,0.126865671642,0.215393133998,0.15705821235,0.333829857663
Beijing Jiaotong University,0.482097831568,0.147252747253,0.377461706783,0.377327935223,0.329073482428,0.470788704966,0.497973657548,0.495024875622,0.152823920266,0.0011794108562,0.000331016219795
Boston College,0.32980332829,0.531868131868,0.778993435449,0.145748987854,0.67731629393,0.536027263875,0.374366767984,0.244402985075,0.398671096346,0.134284350341,0.333829857663
Brandeis University,0.255168935956,0.443956043956,0.0984682713348,0.519028340081,0.244408945687,0.521908471276,0.182370820669,0.570273631841,0.206533776301,0.139591699194,0.333829857663
Brigham Young University,0.410489157842,0.602197802198,0.630196936543,0.642105263158,0.67731629393,0.481499513145,0.427051671733,0.351990049751,0.154485049834,0.131223498357,0.333829857663
Cardiff University,0.204740292486,0.0659340659341,0.675054704595,0.314979757085,0.437699680511,0.173807205453,0.152988855117,0.281094527363,0.198781838317,0.144084692932,0.333829857663
Chemnitz University of Technology,0.461926374181,0.114285714286,0.377461706783,0.257489878543,0.329073482428,0.479065238559,0.480243161094,0.495024875622,0.204318936877,0.00134789812137,0.000331016219795
China University of Geosciences (Wuhan),0.453857791225,0.134065934066,0.390590809628,0.442105263158,0.341853035144,0.449853943525,0.321681864235,0.26368159204,0.414174972315,0.000673949060684,0.000496524329692
Chinese University of Hong Kong,0.210791729702,0.0043956043956,0.19693654267,0.765182186235,0.319488817891,0.16017526777,0.373860182371,0.228233830846,0.203765227021,0.143186094184,0.333829857663
City College of New York,0.291981845688,0.49010989011,0.0612691466083,0.332793522267,0.67731629393,0.658714703019,0.436676798379,0.567786069652,0.402547065338,0.136587009632,0.333829857663
