,0,1,2,3,4,5,6,7,8,9,10
Arizona State University,0.177508825013,0.457142857143,1.0,0.909311740891,0.44249201278,0.234664070107,0.183383991895,0.19092039801,0.0664451827243,0.423464659796,1.0
Boston University,0.1235501765,0.362637362637,0.859956236324,0.20971659919,0.538338658147,0.106134371957,0.080040526849,0.0957711442786,0.309523809524,0.451461627025,1.0
Brown University,0.152798789713,0.424175824176,0.238512035011,0.134412955466,0.428115015974,0.215189873418,0.147416413374,0.195895522388,0.314507198228,0.436325854371,1.0
California Institute of Technology,0.018154311649,0.0681318681319,0.00984682713348,0.606477732794,0.038338658147,0.0837390457644,0.0288753799392,0.0485074626866,0.0293466223699,0.8110134509,1.0
Carnegie Mellon University,0.103378719112,0.303296703297,0.109409190372,0.444534412955,0.158146964856,0.299902629017,0.33282674772,0.162313432836,0.295127353267,0.467748729325,1.0
Case Western Reserve University,0.141704488149,0.351648351648,0.128008752735,0.414574898785,0.768370607029,0.176728334956,0.132725430598,0.111940298507,0.170542635659,0.291398725113,0.666832174777
Columbia University,0.011598587998,0.0373626373626,0.0568927789934,0.0251012145749,0.0527156549521,0.0238558909445,0.0217831813576,0.0254975124378,0.0105204872647,0.889416191626,1.0
Cornell University,0.0211800302572,0.0791208791209,0.0514223194748,0.0720647773279,0.0974440894569,0.0418695228822,0.0334346504559,0.0466417910448,0.0199335548173,0.784532869057,1.0
Dartmouth College,0.112960161372,0.320879120879,0.161925601751,0.0445344129555,1.0,0.335929892892,0.26798378926,0.285447761194,0.167774086379,0.46333997922,1.0
Duke University,0.0514372163389,0.167032967033,0.309628008753,0.108502024291,0.32268370607,0.0384615384615,0.0374873353597,0.032960199005,0.0636766334441,0.554070371514,1.0
Emory University,0.167423096319,0.452747252747,1.0,0.347368421053,0.837060702875,0.121226874391,0.100810536981,0.164800995025,0.123477297896,0.423942040381,1.0
Georgia Institute of Technology,0.174483106404,0.463736263736,0.492341356674,0.224291497976,1.0,0.186465433301,0.255319148936,0.150497512438,0.0708748615725,0.420937350819,1.0
Harvard University,0.0,0.0043956043956,0.0,0.0,0.0,0.0,0.0,0.0,0.00719822812846,1.0,1.0
Hebrew University of Jerusalem,0.0423600605144,0.00659340659341,0.0645514223195,0.486639676113,0.0878594249201,0.210321324245,0.18946301925,0.658582089552,0.0681063122924,0.587795905759,1.0
Imperial College London,0.0630358043369,0.0263736263736,0.422319474836,0.26963562753,0.214057507987,0.0379746835443,0.049138804458,0.0609452736318,0.0919158361019,0.530313667125,1.0
Johns Hopkins University,0.0317700453858,0.10989010989,0.0973741794311,0.259109311741,0.113418530351,0.00925024342746,0.015704154002,0.0143034825871,0.00553709856035,0.649967706608,1.0
Karolinska Institute,0.136157337368,0.0043956043956,0.456236323851,1.0,0.252396166134,0.121713729309,0.100303951368,0.151119402985,0.929125138427,0.444048187358,1.0
King's College London,0.128593040847,0.0417582417582,0.0940919037199,0.365991902834,0.519169329073,0.0978578383642,0.146403242148,0.141791044776,0.258028792913,0.298390946618,0.666997682886
