"X","Y"
"0","0"
"-0.50158815798554024","0.086842740414277531"
"0","0"
"-0.30280455275428325","0.017826411452298851"
"0","0"
"-0.12004895205198637","-0.4052872997836352"
"0","0"
"-0.051925607187772609","0.65426813510577786"
"0","0"
"-0.033328850289189381","0.50931458847560662"
"0","0"
"-0.025509902562389022","-0.08016813857013666"
"0","0"
"0.019102873847416973","0.21431767870436713"
"0","0"
"-0.09879522172992293","-0.29108062020842118"
"0","0"
"-0.3278369178194207","-0.057580071115553882"
"0","0"
"0.72128127337937797","-0.0034970815936711253"
